id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
400795501,2015,1,Montana,North Dakota State,38,35,fcs,fcs,,,False,-3,Montana
400603840,2015,1,South Carolina,North Carolina,17,13,fbs,fbs,1646.0,1477.0,True,-4,South Carolina
400763593,2015,1,UCF,Florida International,14,15,fbs,fbs,1626.0,1321.0,False,1,Florida International
400795766,2015,1,Murray State,Kentucky Wesleyan,52,12,fcs,ii,,,False,-40,Murray State
400756896,2015,1,Wake Forest,Elon,41,3,fbs,fcs,,,False,-38,Wake Forest
400799035,2015,1,Samford,Central Arkansas,45,16,fcs,fcs,,,False,-29,Samford
400795587,2015,1,Charleston Southern,North Greenville,41,14,fcs,ii,,,False,-27,Charleston Southern
400799864,2015,1,Campbell,Pikeville,41,20,fcs,,,,False,-21,Campbell
400795765,2015,1,Eastern Kentucky,Valparaiso,52,10,fcs,fcs,,,False,-42,Eastern Kentucky
400795494,2015,1,Western Illinois,Eastern Illinois,33,5,fcs,fcs,,,False,-28,Western Illinois
400787299,2015,1,Ball State,VMI,48,36,fbs,fcs,,,False,-12,Ball State
400799924,2015,1,Northwestern State,Southeastern Louisiana,20,34,fcs,fcs,,,False,14,Southeastern Louisiana
400763399,2015,1,Central Michigan,Oklahoma State,13,24,fbs,fbs,1417.0,1567.0,False,11,Oklahoma State
400756895,2015,1,Georgia Tech,Alcorn State,69,6,fbs,fcs,,,False,-63,Georgia Tech
400795577,2015,1,East Tennessee State,Kennesaw State,16,56,fcs,fcs,,,True,40,Kennesaw State
400764854,2015,1,Connecticut,Villanova,20,15,fbs,fcs,,,False,-5,Connecticut
400603839,2015,1,Vanderbilt,Western Kentucky,12,14,fbs,fbs,1365.0,1521.0,False,2,Western Kentucky
400756883,2015,1,Utah,Michigan,24,17,fbs,fbs,1603.0,1553.0,False,-7,Utah
400787302,2015,1,Idaho,Ohio,28,45,fbs,fbs,1167.0,1321.0,False,17,Ohio
400763398,2015,1,Minnesota,TCU,17,23,fbs,fbs,1633.0,1963.0,False,6,TCU
400787110,2015,1,Utah State,Southern Utah,12,9,fbs,fcs,,,False,-3,Utah State
