id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
400869090,2016,1,California,Hawai'i,51,31,fbs,fbs,1571.0,1133.0,True,-20,California
400873307,2016,1,North Dakota State,Charleston Southern,24,17,fcs,fcs,,,False,-7,North Dakota State
400874861,2016,1,Wagner,St. Anselm,38,16,fcs,ii,,,False,-22,Wagner
400869341,2016,1,Louisville,Charlotte,70,14,fbs,fbs,1614.0,1134.0,False,-56,Louisville
400872827,2016,1,Robert Morris,Alderson-Broaddus,7,14,fcs,ii,,,False,7,Alderson-Broaddus
400869257,2016,1,Central Michigan,Presbyterian College,49,3,fbs,fcs,,,False,-46,Central Michigan
400869502,2016,1,Cincinnati,UT Martin,28,7,fbs,fcs,,,False,-21,Cincinnati
400869731,2016,1,Stony Brook,North Dakota,13,9,fcs,fcs,,,False,-4,Stony Brook
400871388,2016,1,Eastern Illinois,Western Illinois,21,38,fcs,fcs,,,False,17,Western Illinois
400871402,2016,1,Mercer,The Citadel,23,24,fcs,fcs,,,False,1,The Citadel
400871358,2016,1,Missouri State,Southwestern College,57,0,fcs,,,,False,-57,Missouri State
400872479,2016,1,Central Arkansas,Houston Christian,56,13,fcs,fcs,,,False,-43,Central Arkansas
400872706,2016,1,Delaware,Delaware State,56,14,fcs,fcs,,,False,-42,Delaware
400869503,2016,1,Connecticut,Maine,24,21,fbs,fcs,,,False,-3,Connecticut
400871448,2016,1,Tennessee Tech,Wofford,7,21,fcs,fcs,,,False,14,Wofford
400872860,2016,1,Jacksonville State,North Alabama,31,12,fcs,ii,,,False,-19,Jacksonville State
400871414,2016,1,Chattanooga,Shorter,66,0,fcs,ii,,,False,-66,Chattanooga
400869421,2016,1,Wake Forest,Tulane,7,3,fbs,fbs,1373.0,1205.0,False,-4,Wake Forest
400871391,2016,1,Samford,Mars Hill,77,7,fcs,ii,,,False,-70,Samford
400868977,2016,1,Tennessee,Appalachian State,20,13,fbs,fbs,1740.0,1590.0,False,-7,Tennessee
400869422,2016,1,NC State,William & Mary,48,14,fbs,fcs,,,False,-34,NC State
400871389,2016,1,Youngstown State,Duquesne,45,10,fcs,fcs,,,False,-35,Youngstown State
400869342,2016,1,Florida International,Indiana,13,34,fbs,fbs,1269.0,1493.0,False,21,Indiana
400868968,2016,1,Vanderbilt,South Carolina,10,13,fbs,fbs,1391.0,1553.0,False,3,South Carolina
400869347,2016,1,Western Kentucky,Rice,46,14,fbs,fbs,1747.0,1254.0,False,-32,Western Kentucky
400869173,2016,1,Utah State,Weber State,45,6,fbs,fcs,,,False,-39,Utah State
400869091,2016,1,Utah,Southern Utah,24,0,fbs,fcs,,,False,-24,Utah
400869725,2016,1,Idaho,Montana State,20,17,fbs,fcs,,,False,-3,Idaho
400869092,2016,1,Minnesota,Oregon State,30,23,fbs,fbs,1561.0,1264.0,False,-7,Minnesota
400869177,2016,1,New Mexico,South Dakota,48,21,fbs,fcs,,,False,-27,New Mexico
400869174,2016,1,UNLV,Jackson State,63,13,fbs,fcs,,,True,-50,UNLV
400872820,2016,1,Central Connecticut,Lafayette,10,24,fcs,fcs,,,False,14,Lafayette
400869263,2016,1,Eastern Michigan,Mississippi Valley State,61,14,fbs,fcs,,,False,-47,Eastern Michigan
400869651,2016,1,Michigan State,Furman,28,13,fbs,fcs,,,False,-15,Michigan State
400869258,2016,1,Georgia State,Ball State,21,31,fbs,fbs,1396.0,1248.0,False,10,Ball State
400869423,2016,1,Syracuse,Colgate,33,7,fbs,fcs,,,False,-26,Syracuse
400868910,2016,1,Temple,Army,13,28,fbs,fbs,1590.0,1315.0,False,15,Army
400869259,2016,1,Buffalo,Albany,16,22,fbs,fcs,,,False,6,Albany
400868876,2016,1,Baylor,Northwestern State,55,7,fbs,fcs,,,False,-48,Baylor
400869093,2016,1,Colorado,Colorado State,44,7,fbs,fbs,1411.0,1457.0,True,-37,Colorado
400869265,2016,1,Arkansas State,Toledo,10,31,fbs,fbs,1510.0,1653.0,False,21,Toledo
400869094,2016,1,Stanford,Kansas State,26,13,fbs,fbs,1843.0,1521.0,False,-13,Stanford
400869181,2016,1,Nevada,Cal Poly,30,27,fbs,fcs,,,False,-3,Nevada
400869424,2016,1,Boston College,Georgia Tech,14,17,fbs,fbs,1479.0,1588.0,True,3,Georgia Tech
400877072,2016,1,Charleston Southern,Kentucky State,57,7,fcs,ii,,,False,-50,Charleston Southern
400868976,2016,1,West Virginia,Missouri,26,11,fbs,fbs,1676.0,1538.0,False,-15,West Virginia
400869267,2016,1,Northwestern,Western Michigan,21,22,fbs,fbs,1464.0,1594.0,False,1,Western Michigan
400868975,2016,1,Mississippi State,South Alabama,20,21,fbs,fbs,1727.0,1243.0,False,1,South Alabama
400869180,2016,1,Michigan,Hawai'i,63,3,fbs,fbs,1753.0,1122.0,False,-60,Michigan
400869509,2016,1,Navy,Fordham,52,16,fbs,fcs,,,False,-36,Navy
400869176,2016,1,Louisiana,Boise State,10,45,fbs,fbs,1299.0,1727.0,False,35,Boise State
400869260,2016,1,Ohio State,Bowling Green,77,10,fbs,fbs,1913.0,1607.0,False,-67,Ohio State
400869653,2016,1,Maryland,Howard,52,13,fbs,fcs,,,False,-39,Maryland
400869507,2016,1,Houston,Oklahoma,33,23,fbs,fbs,1780.0,1885.0,True,-10,Houston
400869578,2016,1,Purdue,Eastern Kentucky,45,24,fbs,fcs,,,False,-21,Purdue
400873106,2016,1,Lehigh,Monmouth,21,23,fcs,fcs,,,False,2,Monmouth
400869428,2016,1,Virginia Tech,Liberty,36,13,fbs,fcs,1595.0,1441.0,False,-23,Virginia Tech
400873521,2016,1,Georgetown,Davidson,38,14,fcs,fcs,,,False,-24,Georgetown
400869426,2016,1,Pittsburgh,Villanova,28,7,fbs,fcs,,,False,-21,Pittsburgh
400872791,2016,1,Morgan State,Holy Cross,24,51,fcs,fcs,,,False,27,Holy Cross
400869175,2016,1,Air Force,Abilene Christian,37,21,fbs,fcs,,,False,-16,Air Force
400869097,2016,1,Washington,Rutgers,48,13,fbs,fbs,1749.0,1372.0,False,-35,Washington
400872813,2016,1,Bryant,Merrimack,41,20,fcs,ii,,,False,-21,Bryant
400871349,2016,1,Indiana State,Butler,41,25,fcs,fcs,,,False,-16,Indiana State
400869619,2016,1,Oklahoma State,Southeastern Louisiana,61,7,fbs,fcs,,,False,-54,Oklahoma State
400868978,2016,1,Texas A&M,UCLA,31,24,fbs,fbs,1616.0,1648.0,False,-7,Texas A&M
400869652,2016,1,Illinois,Murray State,52,3,fbs,fcs,,,False,-49,Illinois
400868974,2016,1,Wisconsin,LSU,16,14,fbs,fbs,1700.0,1711.0,True,-2,Wisconsin
400872671,2016,1,Elon,Gardner-Webb,6,31,fcs,fcs,,,False,25,Gardner-Webb
400869262,2016,1,Iowa,Miami (OH),45,21,fbs,fbs,1641.0,1195.0,False,-24,Iowa
400869427,2016,1,Virginia,Richmond,20,37,fbs,fcs,,,False,17,Richmond
