id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
401550883,2023,1,LaGrange College,Florida Memorial University,,,iii,,,,False,,Florida Memorial University
401525434,2023,1,Notre Dame,Navy,42.0,3.0,fbs,fbs,1733.0,1471.0,True,-39.0,Notre Dame
401540199,2023,1,Mercer,North Alabama,17.0,7.0,fcs,fcs,,,True,-10.0,Mercer
401520145,2023,1,Jacksonville State,UTEP,17.0,14.0,fbs,fbs,1500.0,1369.0,False,-3.0,Jacksonville State
401540628,2023,1,Albany,Fordham,34.0,13.0,fcs,fcs,,,False,-21.0,Albany
401532392,2023,1,San Diego State,Ohio,20.0,13.0,fbs,fbs,1488.0,1482.0,False,-7.0,San Diego State
401525450,2023,1,New Mexico State,UMass,30.0,41.0,fbs,fbs,1322.0,1074.0,False,11.0,UMass
401520147,2023,1,Vanderbilt,Hawai'i,35.0,28.0,fbs,fbs,1322.0,1246.0,False,-7.0,Vanderbilt
401539999,2023,1,Jackson State,South Carolina State,37.0,7.0,fcs,fcs,,,True,-30.0,Jackson State
401523986,2023,1,USC,San José State,56.0,28.0,fbs,fbs,1663.0,1462.0,False,-28.0,USC
401520146,2023,1,Louisiana Tech,Florida International,22.0,17.0,fbs,fbs,1251.0,1072.0,False,-5.0,Louisiana Tech
401545743,2023,1,New Haven,Frostburg State,24.0,27.0,ii,ii,,,False,3.0,Frostburg State
401540527,2023,1,Morehead State,West Virginia State,37.0,35.0,fcs,ii,,,False,-2.0,Morehead State
401540244,2023,1,Lamar,Idaho,17.0,42.0,fcs,fcs,,,False,25.0,Idaho
401540607,2023,1,Kennesaw State,Tusculum,38.0,7.0,fcs,ii,,,False,-31.0,Kennesaw State
401540288,2023,1,Texas A&M-Commerce,UC Davis,10.0,48.0,fcs,fcs,,,False,38.0,UC Davis
401550265,2023,1,Hiram,Heidelberg,14.0,68.0,iii,iii,,,False,54.0,Heidelberg
401553950,2023,1,Northwood (MI),Glenville State,9.0,44.0,ii,ii,,,False,35.0,Glenville State
401550193,2023,1,Rowan,Stevenson,17.0,20.0,iii,iii,,,False,3.0,Stevenson
401540802,2023,1,Saginaw Valley,Winona State,34.0,24.0,ii,ii,,,False,-10.0,Saginaw Valley
401540470,2023,1,Charleston Southern,North Greenville,13.0,10.0,fcs,ii,,,False,-3.0,Charleston Southern
401549697,2023,1,Keiser University,Mississippi College,14.0,17.0,,ii,,,True,3.0,Mississippi College
401545860,2023,1,Alderson-Broaddus,California (PA),0.0,0.0,ii,ii,,,False,-0.0,California (PA)
401544917,2023,1,Wingate,Albany State (GA),30.0,7.0,ii,ii,,,False,-23.0,Wingate
401541838,2023,1,Barton College,Chowan,41.0,0.0,ii,ii,,,False,-41.0,Barton College
401540990,2023,1,UNC Pembroke,Fayetteville State,19.0,17.0,ii,ii,,,False,-2.0,UNC Pembroke
401545751,2023,1,Quincy,Chadron State,34.0,35.0,ii,ii,,,False,1.0,Chadron State
401541949,2023,1,Northeastern State,Fort Hays State,0.0,56.0,ii,ii,,,False,56.0,Fort Hays State
401541881,2023,1,West Georgia,Limestone,21.0,19.0,ii,ii,,,False,-2.0,West Georgia
401541872,2023,1,West Alabama,Angelo State,14.0,38.0,ii,ii,,,False,24.0,Angelo State
401541833,2023,1,Walsh,West Liberty,24.0,21.0,ii,ii,,,False,-3.0,Walsh
401541033,2023,1,Carson-Newman,Virginia Lynchburg,35.0,3.0,ii,,,,False,-32.0,Carson-Newman
401545842,2023,1,Sioux Falls,Minnesota State,26.0,54.0,ii,ii,,,False,28.0,Minnesota State
401541801,2023,1,Indiana (PA),Ashland,24.0,17.0,ii,ii,,,False,-7.0,Indiana (PA)
401541787,2023,1,Southern Arkansas,Southeastern Oklahoma,34.0,19.0,ii,ii,,,False,-15.0,Southern Arkansas
401541782,2023,1,Southwestern Oklahoma,Ouachita Baptist,14.0,38.0,ii,ii,,,False,24.0,Ouachita Baptist
401541751,2023,1,Southern Nazarene,Harding,20.0,53.0,ii,ii,,,False,33.0,Harding
401540299,2023,1,Indiana State,Eastern Illinois,0.0,27.0,fcs,fcs,,,False,27.0,Eastern Illinois
401545847,2023,1,Minot State,Southwest Minnesota State,23.0,28.0,ii,ii,,,False,5.0,Southwest Minnesota State
401541855,2023,1,Samford,Shorter,69.0,14.0,fcs,ii,,,False,-55.0,Samford
401545869,2023,1,Lincoln (PA),Clarion,20.0,30.0,ii,ii,,,False,10.0,Clarion
401540534,2023,1,Furman,Tennessee Tech,45.0,10.0,fcs,fcs,,,False,-35.0,Furman
401547053,2023,1,Kentucky State,Clark Atlanta,34.0,20.0,ii,ii,,,False,-14.0,Kentucky State
401547175,2023,1,McMurry,Birmingham-Southern,19.0,20.0,iii,iii,,,True,1.0,Birmingham-Southern
401545810,2023,1,Bemidji State,Northern State,49.0,13.0,ii,ii,,,False,-36.0,Bemidji State
401545791,2023,1,Millersville,St. Anselm,33.0,7.0,ii,ii,,,False,-26.0,Millersville
401545779,2023,1,Wheeling Jesuit,Seton Hill College,35.0,24.0,ii,ii,,,False,-11.0,Wheeling Jesuit
401525461,2023,1,Wake Forest,Elon,37.0,17.0,fbs,fcs,1608.0,,False,-20.0,Wake Forest
401525816,2023,1,UCF,Kent State,56.0,6.0,fbs,fbs,1534.0,1396.0,False,-50.0,UCF
401540728,2023,1,Missouri S&T,Delta State,20.0,48.0,ii,ii,,,False,28.0,Delta State
401540775,2023,1,Northwestern Oklahoma State,Arkansas-Monticello,24.0,49.0,ii,ii,,,False,25.0,Arkansas-Monticello
401532393,2023,1,Western Michigan,St Francis (PA),35.0,17.0,fbs,fcs,1367.0,,False,-18.0,Western Michigan
401540794,2023,1,Minnesota-Duluth,Northern Michigan,47.0,10.0,ii,ii,,,False,-37.0,Minnesota-Duluth
401545835,2023,1,Wayne State (NE),Minnesota St-Moorhead,31.0,23.0,ii,ii,,,False,-8.0,Wayne State (NE)
401540323,2023,1,Stony Brook,Delaware,13.0,37.0,fcs,fcs,,,False,24.0,Delaware
401541001,2023,1,Fairmont State,Bloomsburg,34.0,30.0,ii,ii,,,False,-4.0,Fairmont State
401541012,2023,1,Charleston (WV),Gannon,22.0,13.0,ii,ii,,,False,-9.0,Charleston (WV)
401554814,2023,1,Buffalo State,Brockport State (NY),6.0,42.0,iii,iii,,,False,36.0,Brockport State (NY)
401531834,2023,1,Georgia State,Rhode Island,42.0,35.0,fbs,fcs,1490.0,,False,-7.0,Georgia State
401540311,2023,1,Campbell,William & Mary,24.0,34.0,fcs,fcs,,,False,10.0,William & Mary
401550240,2023,1,Lakeland University,Wisconsin-Platteville,13.0,80.0,iii,iii,,,False,67.0,Wisconsin-Platteville
401550360,2023,1,Belhaven College,Millsaps,47.0,7.0,iii,iii,,,False,-40.0,Belhaven College
401558399,2023,1,Louisiana College,East Texas Baptist,34.0,14.0,,iii,,,True,-20.0,Louisiana College
401551497,2023,1,East Stroudsburg,Pace,62.0,9.0,ii,ii,,,False,-53.0,East Stroudsburg
401549695,2023,1,Ferris State,Mercyhurst,54.0,12.0,ii,ii,,,False,-42.0,Ferris State
401520174,2023,1,Connecticut,NC State,14.0,24.0,fbs,fbs,1260.0,1557.0,False,10.0,NC State
401545819,2023,1,Concordia-St. Paul,Upper Iowa,43.0,20.0,ii,ii,,,False,-23.0,Concordia-St. Paul
401540451,2023,1,Youngstown State,Valparaiso,52.0,10.0,fcs,fcs,,,False,-42.0,Youngstown State
401531377,2023,1,UAB,North Carolina A&T,35.0,6.0,fbs,fcs,1510.0,,False,-29.0,UAB
401520176,2023,1,Utah,Florida,24.0,11.0,fbs,fbs,1776.0,1554.0,False,-13.0,Utah
401541939,2023,1,Central Oklahoma,Nebraska-Kearney,24.0,21.0,ii,ii,,,False,-3.0,Central Oklahoma
401541958,2023,1,Missouri Southern State,Northwest Missouri State,24.0,31.0,ii,ii,,,False,7.0,Northwest Missouri State
401541984,2023,1,Pittsburg State,Washburn,34.0,7.0,ii,ii,,,False,-27.0,Pittsburg State
401550428,2023,1,Lindenwood,Wisconsin-Stevens Point,77.0,9.0,fcs,iii,,,False,-68.0,Lindenwood
401544875,2023,1,Emporia State,Lincoln (MO),56.0,10.0,ii,ii,,,False,-46.0,Emporia State
401550414,2023,1,Dakota State,Wisconsin-La Crosse,6.0,31.0,,iii,,,True,25.0,Wisconsin-La Crosse
401541775,2023,1,Oklahoma Baptist,Arkansas Tech,23.0,21.0,ii,ii,,,False,-2.0,Oklahoma Baptist
401520165,2023,1,Missouri,South Dakota,35.0,10.0,fbs,fcs,1480.0,,False,-25.0,Missouri
401541760,2023,1,Henderson State,East Central,41.0,13.0,ii,ii,,,False,-28.0,Henderson State
401540745,2023,1,Colorado Mines,Grand Valley State,31.0,28.0,ii,ii,,,False,-3.0,Colorado Mines
401540278,2023,1,Abilene Christian,Northern Colorado,31.0,11.0,fcs,fcs,,,False,-20.0,Abilene Christian
401540463,2023,1,South Dakota State,Western Oregon,45.0,7.0,fcs,ii,,,False,-38.0,South Dakota State
401541923,2023,1,Weber State,Central Washington,35.0,10.0,fcs,ii,,,False,-25.0,Weber State
401531337,2023,1,Tulsa,Arkansas-Pine Bluff,42.0,7.0,fbs,fcs,1418.0,,False,-35.0,Tulsa
401541928,2023,1,Missouri Western,Central Missouri State,38.0,45.0,ii,ii,,,False,7.0,Central Missouri State
401551490,2023,1,Eastern New Mexico,New Mexico Highlands,28.0,26.0,ii,ii,,,False,-2.0,Eastern New Mexico
401520148,2023,1,Minnesota,Nebraska,13.0,10.0,fbs,fbs,1672.0,1521.0,False,-3.0,Minnesota
401549650,2023,1,Beloit College,Rockford,34.0,27.0,iii,iii,,,False,-7.0,Beloit College
401523987,2023,1,Arizona State,Southern Utah,24.0,21.0,fbs,fcs,1464.0,,False,-3.0,Arizona State
