id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
401282714,2021,1,Illinois,Nebraska,30,22,fbs,fbs,1392.0,1503.0,False,-8,Illinois
401286187,2021,1,Fresno State,Connecticut,45,0,fbs,fbs,1465.0,1223.0,False,-45,Fresno State
401329133,2021,1,Central State,Kentucky State,6,20,ii,ii,,,True,14,Kentucky State
401309833,2021,1,UCLA,Hawai'i,44,10,fbs,fbs,1517.0,1466.0,False,-34,UCLA
401328337,2021,1,Indiana State,Eastern Illinois,26,21,fcs,fcs,,,False,-5,Indiana State
401327539,2021,1,North Carolina Central,Alcorn State,23,14,fcs,fcs,,,True,-9,North Carolina Central
401282049,2021,1,New Mexico State,UTEP,3,30,fbs,fbs,1261.0,1222.0,False,27,UTEP
401310693,2021,1,San José State,Southern Utah,45,14,fbs,fcs,,,False,-31,San José State
401282050,2021,1,Jacksonville State,UAB,0,31,fcs,fbs,,,True,31,UAB
401328215,2021,1,Wingate,Shaw,30,7,ii,ii,,,False,-23,Wingate
401328989,2021,1,Wayne State (MI),Slippery Rock,21,24,ii,ii,,,False,3,Slippery Rock
401328204,2021,1,Stony Brook,New Hampshire,21,27,fcs,fcs,,,False,6,New Hampshire
401329651,2021,1,Mars Hill,Chowan,24,30,ii,ii,,,False,6,Chowan
401332315,2021,1,Drake,WV Wesleyan,45,3,fcs,ii,,,False,-42,Drake
401328276,2021,1,Arkansas Tech,Southeastern Oklahoma,20,38,ii,ii,,,False,18,Southeastern Oklahoma
401328309,2021,1,Arkansas-Monticello,Southern Nazarene,30,23,ii,ii,,,False,-7,Arkansas-Monticello
401328397,2021,1,Southwestern Oklahoma,Henderson State,13,31,ii,ii,,,False,18,Henderson State
401328432,2021,1,Northwestern Oklahoma State,Southern Arkansas,13,32,ii,ii,,,False,19,Southern Arkansas
401328466,2021,1,Ouachita Baptist,Oklahoma Baptist,38,31,ii,ii,,,False,-7,Ouachita Baptist
401328605,2021,1,Lindenwood,Angelo State,20,40,ii,ii,,,False,20,Angelo State
401328973,2021,1,Northwood (MI),Gannon,21,28,ii,ii,,,False,7,Gannon
401329015,2021,1,Delta State,Bethel (TN),48,14,ii,,,,False,-34,Delta State
401329020,2021,1,Mississippi College,Albany State (GA),0,24,ii,ii,,,False,24,Albany State (GA)
401329056,2021,1,Carson-Newman,West Georgia,7,45,ii,ii,,,False,38,West Georgia
401329270,2021,1,Seton Hill College,Wheeling Jesuit,16,14,ii,ii,,,False,-2,Seton Hill College
401329357,2021,1,Ohio Dominican,Shepherd,30,35,ii,ii,,,False,5,Shepherd
401329425,2021,1,Millersville,American International,9,14,ii,ii,,,False,5,American International
401329443,2021,1,Lincoln (MO),Washburn,12,76,ii,ii,,,False,64,Washburn
401329491,2021,1,Minnesota State,Northern State,40,34,ii,ii,,,False,-6,Minnesota State
401329503,2021,1,Sioux Falls,Bemidji State,16,24,ii,ii,,,False,8,Bemidji State
401329689,2021,1,Upper Iowa,Minnesota-Duluth,14,41,ii,ii,,,False,27,Minnesota-Duluth
401334756,2021,1,Kentucky Wesleyan,Frostburg State,13,20,ii,ii,,,False,7,Frostburg State
401334786,2021,1,Wayne State (NE),University of Mary,34,27,ii,ii,,,False,-7,Wayne State (NE)
401334787,2021,1,Fairmont State,California (PA),14,23,ii,ii,,,False,9,California (PA)
401337471,2021,1,West Liberty,Walsh,6,27,ii,ii,,,False,21,Walsh
401357797,2021,1,Mercer,Point University,69,0,fcs,,,,False,-69,Mercer
401328458,2021,1,Samford,Tennessee Tech,52,14,fcs,fcs,,,False,-38,Samford
401328388,2021,1,Youngstown State,Incarnate Word,44,41,fcs,fcs,,,False,-3,Youngstown State
401328175,2021,1,Maine,Delaware,24,34,fcs,fcs,,,False,10,Delaware
401328545,2021,1,Coastal Carolina,The Citadel,52,14,fbs,fcs,,,False,-38,Coastal Carolina
401309540,2021,1,Ball State,Western Illinois,31,21,fbs,fcs,,,False,-10,Ball State
401309542,2021,1,Buffalo,Wagner,69,7,fbs,fcs,,,False,-62,Buffalo
401300995,2021,1,UCF,Boise State,36,31,fbs,fbs,1648.0,1602.0,False,-5,UCF
401329660,2021,1,East Stroudsburg,Pace,35,14,ii,ii,,,False,-21,East Stroudsburg
401328768,2021,1,Ferris State,Findlay,54,14,ii,ii,,,False,-40,Ferris State
401328383,2021,1,Southeast Missouri State,Southern Illinois,21,47,fcs,fcs,,,False,26,Southern Illinois
401300993,2021,1,Appalachian State,East Carolina,33,19,fbs,fbs,1659.0,1403.0,False,-14,Appalachian State
401309834,2021,1,Utah,Weber State,40,17,fbs,fcs,,,False,-23,Utah
401282607,2021,1,NC State,South Florida,45,0,fbs,fbs,1460.0,1251.0,False,-45,NC State
401328404,2021,1,Chattanooga,Austin Peay,20,30,fcs,fcs,,,False,10,Austin Peay
401300994,2021,1,Tulsa,UC Davis,17,19,fbs,fcs,,,False,2,UC Davis
401282789,2021,1,Minnesota,Ohio State,31,45,fbs,fbs,1585.0,1905.0,False,14,Ohio State
401310696,2021,1,New Mexico,Houston Christian,27,17,fbs,fcs,,,False,-10,New Mexico
401282180,2021,1,Western Kentucky,UT Martin,59,21,fbs,fcs,,,False,-38,Western Kentucky
401281952,2021,1,Tennessee,Bowling Green,38,6,fbs,fbs,1489.0,1041.0,False,-32,Tennessee
401328420,2021,1,Murray State,Mississippi Valley State,35,0,fcs,fcs,,,False,-35,Murray State
401329404,2021,1,Fort Hays State,Northwest Missouri State,7,15,ii,ii,,,False,8,Northwest Missouri State
401329456,2021,1,Nebraska-Kearney,Missouri Southern State,38,0,ii,ii,,,False,-38,Nebraska-Kearney
401329374,2021,1,Central Oklahoma,Missouri Western,24,20,ii,ii,,,False,-4,Central Oklahoma
401329340,2021,1,Central Missouri State,Pittsburg State,16,35,ii,ii,,,False,19,Pittsburg State
401329058,2021,1,Winona State,Concordia-St. Paul,47,6,ii,ii,,,False,-41,Winona State
401329153,2021,1,Colorado State-Pueblo,Texas A&M-Commerce,6,12,ii,ii,,,False,6,Texas A&M-Commerce
401330245,2021,1,Eastern New Mexico,Central Washington,24,66,ii,ii,,,False,42,Central Washington
401329037,2021,1,Southwest Minnesota State,Minnesota St-Moorhead,21,33,ii,ii,,,False,12,Minnesota St-Moorhead
401328138,2021,1,Kennesaw State,Reinhardt,35,25,fcs,,,,False,-10,Kennesaw State
401329312,2021,1,Colorado Mesa,William Jewell College,40,3,ii,ii,,,False,-37,Colorado Mesa
401328681,2021,1,South Dakota Mines,Missouri S&T,34,31,ii,ii,,,False,-3,South Dakota Mines
401329048,2021,1,Colorado Mines,Western Oregon,42,3,ii,ii,,,False,-39,Colorado Mines
401282051,2021,1,Florida International,Long Island University,48,10,fbs,fcs,,,False,-38,Florida International
401328011,2021,1,Northern Arizona,Sam Houston State,16,42,fcs,fcs,,,False,26,Sam Houston State
401329450,2021,1,West Texas A&M,Texas College,73,0,ii,,,,False,-73,West Texas A&M
401310694,2021,1,UNLV,Eastern Washington,33,35,fbs,fcs,,,False,2,Eastern Washington
401309835,2021,1,Arizona State,Southern Utah,41,14,fbs,fcs,,,False,-27,Arizona State
401309937,2021,1,Virginia Tech,North Carolina,17,10,fbs,fbs,1535.0,1725.0,False,-7,Virginia Tech
401335299,2021,1,Central Connecticut,Southern Connecticut State,21,28,fcs,ii,,,False,7,Southern Connecticut State
401344437,2021,1,Bentley,West Chester,41,17,ii,ii,,,False,-24,Bentley
401282052,2021,1,Charlotte,Duke,31,28,fbs,fbs,1366.0,1295.0,False,-3,Charlotte
401282608,2021,1,Wake Forest,Old Dominion,42,10,fbs,fbs,1519.0,1303.0,False,-32,Wake Forest
401309541,2021,1,Eastern Michigan,St Francis (PA),35,15,fbs,fcs,,,False,-20,Eastern Michigan
401287888,2021,1,Kansas,South Dakota,17,14,fbs,fcs,,,False,-3,Kansas
401310695,2021,1,Colorado State,South Dakota State,23,42,fbs,fcs,,,False,19,South Dakota State
401309836,2021,1,Colorado,Northern Colorado,35,7,fbs,fcs,,,False,-28,Colorado
401282782,2021,1,Northwestern,Michigan State,21,38,fbs,fbs,1639.0,1424.0,False,17,Michigan State
401286188,2021,1,Connecticut,Holy Cross,28,38,fbs,fcs,,,False,10,Holy Cross
401282609,2021,1,Boston College,Colgate,51,0,fbs,fcs,,,False,-51,Boston College
401282822,2021,1,Rutgers,Temple,61,14,fbs,fbs,1393.0,1304.0,False,-47,Rutgers
401287894,2021,1,Oklahoma,Tulane,40,35,fbs,fbs,1875.0,1597.0,False,-5,Oklahoma
401282815,2021,1,Wisconsin,Penn State,10,16,fbs,fbs,1745.0,1668.0,False,6,Penn State
401328233,2021,1,Lehigh,Villanova,3,47,fcs,fcs,,,False,44,Villanova
401287889,2021,1,Kansas State,Stanford,24,7,fbs,fbs,1447.0,1491.0,True,-17,Kansas State
401309601,2021,1,Georgia State,Army,10,43,fbs,fbs,1410.0,1549.0,False,33,Army
401327913,2021,1,Nebraska,Fordham,52,7,fbs,fcs,,,False,-45,Nebraska
401281947,2021,1,Kentucky,Louisiana Monroe,45,10,fbs,fbs,1550.0,1101.0,False,-35,Kentucky
401282772,2021,1,Michigan,Western Michigan,47,14,fbs,fbs,1591.0,1510.0,False,-33,Michigan
401328990,2021,1,Shorter,Brevard College,38,14,ii,iii,,,False,-24,Shorter
401329633,2021,1,UVA-Wise,Virginia Lynchburg,54,0,ii,,,,False,-54,UVA-Wise
401328713,2021,1,Notre Dame College,Ashland,42,35,ii,ii,,,False,-7,Notre Dame College
401328706,2021,1,Davenport,Truman State,14,31,ii,ii,,,False,17,Truman State
401363390,2021,1,Southwest Baptist,University of Texas of the Permian Basin,16,24,ii,ii,,,False,8,University of Texas of the Permian Basin
401332385,2021,1,Bluefield,Lawrence Tech,14,21,ii,,,,False,7,Lawrence Tech
401329210,2021,1,Kutztown,Assumption,19,0,ii,ii,,,False,-19,Kutztown
401328924,2021,1,New Haven,Franklin Pierce,30,14,ii,ii,,,False,-16,New Haven
401359753,2021,1,MARIAN (IN,Tiffin,10,34,,ii,,,False,24,Tiffin
401328169,2021,1,St. Augustine's,Tusculum,14,58,ii,ii,,,False,44,Tusculum
401334669,2021,1,Shippensburg,West Virginia State,25,17,ii,ii,,,False,-8,Shippensburg
401331758,2021,1,Catawba,Erskine,37,27,ii,ii,,,False,-10,Catawba
401329325,2021,1,Merrimack,St. Anselm,55,23,fcs,ii,,,False,-32,Merrimack
401328585,2021,1,McNeese,West Florida,36,42,fcs,ii,,,False,6,West Florida
401328566,2021,1,VMI,Davidson,45,24,fcs,fcs,,,False,-21,VMI
401328183,2021,1,Elon,Wofford,22,24,fcs,fcs,,,False,2,Wofford
401329337,2021,1,Fort Lewis,New Mexico Highlands,7,44,ii,ii,,,False,37,New Mexico Highlands
401329143,2021,1,Augustana (SD),Minot State,49,0,ii,ii,,,False,-49,Augustana (SD)
401329106,2021,1,Quincy,Midwestern State,27,48,ii,ii,,,False,21,Midwestern State
401328954,2021,1,Michigan Tech,Hillsdale,14,10,ii,ii,,,False,-4,Michigan Tech
401328647,2021,1,McKendree,Northern Michigan,20,27,ii,ii,,,False,7,Northern Michigan
401348214,2021,1,Barton College,Newberry,7,31,ii,ii,,,False,24,Newberry
401328220,2021,1,Richmond,Howard,38,14,fcs,fcs,,,False,-24,Richmond
401328150,2021,1,Furman,North Carolina A&T,29,18,fcs,fcs,,,False,-11,Furman
401309838,2021,1,Oregon,Fresno State,31,24,fbs,fbs,1698.0,1566.0,False,-7,Oregon
401310861,2021,1,Air Force,Lafayette,35,14,fbs,fcs,,,False,-21,Air Force
401281943,2021,1,Arkansas,Rice,38,17,fbs,fbs,1417.0,1447.0,False,-21,Arkansas
401329179,2021,1,Stonehill,Bloomsburg,35,13,ii,ii,,,False,-22,Stonehill
401328057,2021,1,Idaho State,North Dakota,14,35,fcs,fcs,,,False,21,North Dakota
401329305,2021,1,Western State,Chadron State,23,10,ii,ii,,,False,-13,Western State
401328159,2021,1,North Dakota State,Albany,28,6,fcs,fcs,,,False,-22,North Dakota State
401282764,2021,1,Maryland,West Virginia,30,24,fbs,fbs,1380.0,1549.0,False,-6,Maryland
401282174,2021,1,Navy,Marshall,7,49,fbs,fbs,1380.0,1535.0,False,42,Marshall
401281942,2021,1,Miami,Alabama,13,44,fbs,fbs,1607.0,2099.0,True,31,Alabama
401300996,2021,1,Cincinnati,Miami (OH),49,14,fbs,fbs,1784.0,1426.0,False,-35,Cincinnati
401282723,2021,1,Iowa,Indiana,34,6,fbs,fbs,1805.0,1650.0,False,-28,Iowa
401281950,2021,1,Missouri,Central Michigan,34,24,fbs,fbs,1503.0,1438.0,False,-10,Missouri
401282612,2021,1,Pittsburgh,UMass,51,7,fbs,fbs,1543.0,1061.0,False,-44,Pittsburgh
401310697,2021,1,Wyoming,Montana State,19,16,fbs,fcs,,,False,-3,Wyoming
401281949,2021,1,Mississippi State,Louisiana Tech,35,34,fbs,fbs,1513.0,1337.0,False,-1,Mississippi State
401337368,2021,1,Presbyterian College,St. Andrews,84,43,fcs,,,,False,-41,Presbyterian College
401327924,2021,1,Elizabeth City State,Fayetteville State,6,47,ii,ii,,,False,41,Fayetteville State
401348514,2021,1,Idaho,Simon Fraser,68,0,fcs,ii,,,False,-68,Idaho
401328028,2021,1,San Diego,Cal Poly,17,28,fcs,fcs,,,False,11,Cal Poly
401327914,2021,1,Delaware State,Bowie State,32,24,fcs,ii,,,False,-8,Delaware State
