id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
401013357,2018,1,UMass,Duquesne,63,15,fbs,fcs,,,False,-48,UMass
401030241,2018,1,Jacksonville State,North Carolina A&T,17,20,fcs,fcs,,,True,3,North Carolina A&T
401014972,2018,1,Rice,Prairie View,31,28,fbs,fcs,,,False,-3,Rice
401022510,2018,1,Colorado State,Hawai'i,34,43,fbs,fbs,1529.0,1217.0,False,9,Hawai'i
401013437,2018,1,New Mexico State,Wyoming,7,29,fbs,fbs,1339.0,1537.0,False,22,Wyoming
401030567,2018,1,Wagner,Bowie State,40,23,fcs,ii,,,False,-17,Wagner
401029895,2018,1,Delaware,Rhode Island,19,21,fcs,fcs,,,False,2,Rhode Island
401029921,2018,1,Maine,New Hampshire,35,7,fcs,fcs,,,False,-28,Maine
401030097,2018,1,Indiana State,Quincy,49,0,fcs,ii,,,False,-49,Indiana State
401030234,2018,1,Eastern Kentucky,Morehead State,49,23,fcs,fcs,,,False,-26,Eastern Kentucky
401021651,2018,1,Georgia State,Kennesaw State,24,20,fbs,fcs,,,False,-4,Georgia State
401030248,2018,1,Chattanooga,Tennessee Tech,34,10,fcs,fcs,,,False,-24,Chattanooga
401029968,2018,1,Campbell,Chowan,49,26,fcs,ii,,,False,-23,Campbell
401020671,2018,1,Ball State,Central Connecticut,42,6,fbs,fcs,,,False,-36,Ball State
401013328,2018,1,Minnesota,New Mexico State,48,10,fbs,fbs,1499.0,1304.0,False,-38,Minnesota
401019470,2018,1,Connecticut,UCF,17,56,fbs,fbs,1241.0,1728.0,False,39,UCF
401030159,2018,1,Murray State,Southern Illinois,10,49,fcs,fcs,,,False,39,Southern Illinois
401030402,2018,1,North Dakota,Mississippi Valley State,35,7,fcs,fcs,,,False,-28,North Dakota
401030318,2018,1,Samford,Shorter,66,9,fcs,ii,,,False,-57,Samford
401012675,2018,1,Utah,Weber State,41,10,fbs,fcs,,,False,-31,Utah
401014979,2018,1,UAB,Savannah State,52,0,fbs,fcs,,,True,-52,UAB
401013489,2018,1,Oklahoma State,Missouri State,58,17,fbs,fcs,,,False,-41,Oklahoma State
401013342,2018,1,Purdue,Northwestern,27,31,fbs,fbs,1555.0,1691.0,False,4,Northwestern
401021655,2018,1,Louisiana Monroe,Southeastern Louisiana,34,31,fbs,fcs,,,False,-3,Louisiana Monroe
401013086,2018,1,Tulane,Wake Forest,17,23,fbs,fbs,1390.0,1591.0,False,6,Wake Forest
401012258,2018,1,Texas A&M,Northwestern State,59,7,fbs,fcs,,,False,-52,Texas A&M
401030172,2018,1,Montana State,Western Illinois,26,23,fcs,fcs,,,False,-3,Montana State
401022511,2018,1,San José State,UC Davis,38,44,fbs,fcs,,,False,6,UC Davis
401020673,2018,1,Western Michigan,Syracuse,42,55,fbs,fbs,1553.0,1341.0,False,13,Syracuse
401020672,2018,1,Eastern Michigan,Monmouth,51,17,fbs,fcs,,,False,-34,Eastern Michigan
401013089,2018,1,Duke,Army,34,14,fbs,fbs,1594.0,1522.0,False,-20,Duke
401012880,2018,1,Michigan State,Utah State,38,31,fbs,fbs,1623.0,1475.0,False,-7,Michigan State
401030323,2018,1,Idaho State,Western State,45,10,fcs,ii,,,False,-35,Idaho State
401013354,2018,1,Wisconsin,Western Kentucky,34,3,fbs,fbs,1852.0,1436.0,False,-31,Wisconsin
401022517,2018,1,Nevada,Portland State,72,19,fbs,fcs,,,False,-53,Nevada
401022512,2018,1,Stanford,San Diego State,31,10,fbs,fbs,1757.0,1584.0,False,-21,Stanford
401012680,2018,1,Colorado State,Colorado,13,45,fbs,fbs,1482.0,1495.0,True,32,Colorado
401012804,2018,1,Illinois,Kent State,31,24,fbs,fbs,1305.0,1129.0,False,-7,Illinois
401012256,2018,1,South Carolina,Coastal Carolina,49,15,fbs,fbs,1572.0,1315.0,False,-34,South Carolina
401012872,2018,1,Maryland,Texas,34,29,fbs,fbs,1302.0,1657.0,True,-5,Maryland
401013065,2018,1,Oklahoma,Florida Atlantic,63,14,fbs,fbs,1875.0,1642.0,False,-49,Oklahoma
401012682,2018,1,Ohio State,Oregon State,77,31,fbs,fbs,1915.0,1229.0,False,-46,Ohio State
401014977,2018,1,Rice,Houston,27,45,fbs,fbs,1164.0,1573.0,False,18,Houston
401012253,2018,1,Texas Tech,Ole Miss,27,47,fbs,fbs,1518.0,1533.0,True,20,Ole Miss
401019473,2018,1,Temple,Villanova,17,19,fbs,fcs,,,False,2,Villanova
401012820,2018,1,Rutgers,Texas State,35,7,fbs,fbs,1231.0,1131.0,False,-28,Rutgers
401013072,2018,1,TCU,Southern,55,7,fbs,fcs,,,False,-48,TCU
401013091,2018,1,NC State,James Madison,24,13,fbs,fcs,1632.0,1474.0,False,-11,NC State
401013088,2018,1,Clemson,Furman,48,7,fbs,fcs,,,False,-41,Clemson
401030355,2018,1,Lehigh,St Francis (PA),21,19,fcs,fcs,,,False,-2,Lehigh
401013090,2018,1,Georgia Tech,Alcorn State,41,0,fbs,fcs,,,False,-41,Georgia Tech
401029889,2018,1,Colgate,Holy Cross,24,17,fcs,fcs,,,False,-7,Colgate
401030595,2018,1,Marist,Georgetown,14,39,fcs,fcs,,,False,25,Georgetown
401013087,2018,1,Boston College,UMass,55,21,fbs,fbs,1610.0,1378.0,False,-34,Boston College
401030589,2018,1,Jacksonville,St. Augustine's,63,14,fcs,ii,,,True,-49,Jacksonville
401030574,2018,1,Dayton,Robert Morris,49,28,fcs,fcs,,,False,-21,Dayton
401030551,2018,1,Duquesne,Lock Haven,45,0,fcs,ii,,,False,-45,Duquesne
401030183,2018,1,Youngstown State,Butler,21,23,fcs,fcs,,,False,2,Butler
401022514,2018,1,Air Force,Stony Brook,38,0,fbs,fcs,,,False,-38,Air Force
401020675,2018,1,Ohio,Howard,38,32,fbs,fcs,,,False,-6,Ohio
401030536,2018,1,Bryant,New Haven,41,31,fcs,ii,,,False,-10,Bryant
401012250,2018,1,Georgia,Austin Peay,45,0,fbs,fcs,,,False,-45,Georgia
401029744,2018,1,North Dakota State,Cal Poly,49,3,fcs,fcs,,,False,-46,North Dakota State
401013092,2018,1,Pittsburgh,Albany,33,7,fbs,fcs,,,False,-26,Pittsburgh
401012683,2018,1,Wyoming,Washington State,19,41,fbs,fbs,1572.0,1552.0,False,22,Washington State
401013349,2018,1,Penn State,Appalachian State,45,38,fbs,fbs,1923.0,1652.0,False,-7,Penn State
401012257,2018,1,Tennessee,West Virginia,14,40,fbs,fbs,1411.0,1568.0,True,26,West Virginia
401012248,2018,1,Auburn,Washington,21,16,fbs,fbs,1829.0,1839.0,True,-5,Auburn
401012251,2018,1,Kentucky,Central Michigan,35,20,fbs,fbs,1453.0,1424.0,False,-15,Kentucky
401012862,2018,1,Iowa,Northern Illinois,33,7,fbs,fbs,1712.0,1515.0,False,-26,Iowa
401030208,2018,1,Northern Colorado,McNeese,14,17,fcs,fcs,,,False,3,McNeese
401012255,2018,1,Missouri,UT Martin,51,14,fbs,fcs,,,False,-37,Missouri
