id,season,week,home_team,away_team,home_points,away_points,home_division,away_division,home_pregame_elo,away_pregame_elo,neutral_site,point_diff,winner
400953933,2017,1,Florida A&M,Texas Southern,29,7,fcs,fcs,,,False,-22,Florida A&M
400935282,2017,1,Colorado State,Oregon State,58,27,fbs,fbs,1546.0,1413.0,False,-31,Colorado State
400945031,2017,1,BYU,Portland State,20,6,fbs,fcs,,,False,-14,BYU
400938887,2017,1,UMass,Hawai'i,35,38,fbs,fbs,1230.0,1274.0,False,3,Hawai'i
400951507,2017,1,Jacksonville State,Chattanooga,27,13,fcs,fcs,,,True,-14,Jacksonville State
400950566,2017,1,Cal Poly,Colgate,14,20,fcs,fcs,,,False,6,Colgate
400941786,2017,1,San José State,South Florida,22,42,fbs,fbs,1267.0,1627.0,False,20,South Florida
400935257,2017,1,Rice,Stanford,7,62,fbs,fbs,1239.0,1667.0,True,55,Stanford
400952295,2017,1,Morehead State,Kentucky Christian,56,14,fcs,,,,False,-42,Morehead State
400951249,2017,1,Wagner,St. Anselm,37,7,fcs,ii,,,False,-30,Wagner
400938591,2017,1,UCF,Florida International,61,17,fbs,fbs,1446.0,1272.0,False,-44,UCF
400937445,2017,1,Wake Forest,Presbyterian College,51,7,fbs,fcs,,,False,-44,Wake Forest
400951095,2017,1,Tennessee Tech,Western Illinois,14,41,fcs,fcs,,,False,27,Western Illinois
400951138,2017,1,Indiana State,Eastern Illinois,20,22,fcs,fcs,,,False,2,Eastern Illinois
400951322,2017,1,UT Martin,Clarion,36,0,fcs,ii,,,False,-36,UT Martin
400951381,2017,1,Mercer,Jacksonville,48,7,fcs,fcs,,,False,-41,Mercer
400952263,2017,1,Campbell,Methodist,70,0,fcs,iii,,,False,-70,Campbell
400953935,2017,1,Murray State,Kentucky Wesleyan,67,7,fcs,ii,,,False,-60,Murray State
400935230,2017,1,Minnesota,Buffalo,17,7,fbs,fbs,1601.0,1220.0,False,-10,Minnesota
400950922,2017,1,Samford,Kennesaw State,28,23,fcs,fcs,,,False,-5,Samford
400950950,2017,1,Delaware,Delaware State,22,3,fcs,fcs,,,False,-19,Delaware
