team,id,plays_offense,drives_offense,ppa_offense,total_ppa_offense,success_rate_offense,explosiveness_offense,power_success_offense,stuff_rate_offense,line_yards_offense,line_yards_total_offense,second_level_yards_offense,second_level_yards_total_offense,open_field_yards_offense,open_field_yards_total_offense,standard_downs.ppa_offense,standard_downs.success_rate_offense,standard_downs.explosiveness_offense,passing_downs.ppa_offense,passing_downs.success_rate_offense,passing_downs.explosiveness_offense,rushing_plays.ppa_offense,rushing_plays.total_ppa_offense,rushing_plays.success_rate_offense,rushing_plays.explosiveness_offense,passing_plays.ppa_offense,passing_plays.total_ppa_offense,passing_plays.success_rate_offense,passing_plays.explosiveness_offense,plays_defense,drives_defense,ppa_defense,total_ppa_defense,success_rate_defense,explosiveness_defense,power_success_defense,stuff_rate_defense,line_yards_defense,line_yards_total_defense,second_level_yards_defense,second_level_yards_total_defense,open_field_yards_defense,open_field_yards_total_defense,standard_downs.ppa_defense,standard_downs.success_rate_defense,standard_downs.explosiveness_defense,passing_downs.ppa_defense,passing_downs.success_rate_defense,passing_downs.explosiveness_defense,rushing_plays.ppa_defense,rushing_plays.total_ppa_defense,rushing_plays.success_rate_defense,rushing_plays.explosiveness_defense,passing_plays.ppa_defense,passing_plays.total_ppa_defense,passing_plays.success_rate_defense,passing_plays.explosiveness_defense
Abilene Christian,401300998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian,401418782,62.0,13.0,-0.0042005436753892,-0.2604337078741354,0.3225806451612903,1.5000850872493523,0.3333333333333333,0.0434782608695652,3.391304347826087,78.0,1.0434782608695652,24.0,0.9130434782608696,21.0,-0.1795824638129939,0.3421052631578947,1.141579511406165,0.2734874965424847,0.2916666666666667,2.1658811566724148,0.1875325740440578,4.3132492030133305,0.3478260869565217,1.1599597143934868,0.0641189788441857,2.3082832383906853,0.3333333333333333,1.7268353358199295,75.0,15.0,0.7754236460222578,58.15677345166934,0.6133333333333333,1.5654379000312757,1.0,0.0571428571428571,3.842857142857143,135.0,1.1142857142857143,39.0,0.8285714285714286,29.0,0.5844969996521764,0.660377358490566,1.187110644395706,1.2353832940956355,0.5,2.769206440689907,0.1259408948743335,4.407931320601676,0.5428571428571428,0.5149329533597973,1.3437210532766914,53.74884213106766,0.675,2.304682121763057
Abilene Christian,401418783,72.5,13.0,0.0572697055778698,4.797491271554778,0.34803731053245235,1.4904866976639966,0.41666666666666663,0.18840579710144925,2.880175983436853,89.0,1.1169772256728778,37.0,1.0755693581780537,36.5,-0.1489770579180127,0.3469785575048733,1.1651616903774653,0.4168728079303354,0.35272988505747127,2.0546657463700124,0.12760571697890274,3.577880659695368,0.35248447204968936,1.0922604324797844,0.117582710575828,4.660593686498485,0.3617886178861789,1.8177651770332974,61.0,13.0,0.41844641208375266,30.522912412247987,0.4236879432624113,1.8125687620978286,0.75,0.1649350649350649,3.0487012987012987,92.5,0.8298701298701299,25.5,0.6870129870129871,20.5,0.5162674184630507,0.5347341337907375,1.641900988890891,0.47833602610382353,0.29,2.331221686678331,-0.04930983973057966,-0.26620065738958365,0.385064935064935,0.535689610767188,0.8284482068024953,30.78911306963757,0.4575,2.8085464379594702
Abilene Christian,401418784,69.66666666666667,12.333333333333334,0.06600483725750807,4.979129660861258,0.3622332070216349,1.4533996349983376,0.5444444444444444,0.20338164251207727,2.717895100069013,83.33333333333333,1.0557625948930296,34.0,0.9059351276742581,30.0,-0.08056215328486527,0.37205977907732296,1.1360086926374835,0.3272198003800461,0.34041641459971766,2.147793080673487,0.05920849348245816,1.609394238025935,0.3461007591442374,1.0350825501315704,0.15358440552885735,5.663724139261373,0.388251235453531,1.7734738932960665,65.0,12.666666666666666,0.29988702067563294,21.87596872941057,0.4011800900288221,1.6532324109792798,0.7222222222222222,0.22106782106782105,2.581962481962482,79.66666666666667,0.9067821067821068,28.666666666666668,0.7206349206349206,22.333333333333332,0.29456875928520315,0.4814894225271584,1.4434497662041028,0.4752353800574736,0.3,2.2150103183000236,-0.01382824709613094,0.451017214974043,0.3779220779220778,0.7477729121278648,0.5747707079019505,21.42495151443653,0.4216666666666667,2.3636804407612213
Abilene Christian,401418785,74.75,13.0,0.09384816152917352,7.725355268389767,0.37723046082178174,1.401474837443271,0.6583333333333333,0.20144927536231882,2.927008281573499,103.5,1.1831262939958593,43.5,1.141407867494824,43.75,-0.0274940012366428,0.3915448343079922,1.1309628317158875,0.31259322358914965,0.3469789776164549,2.0019660645934563,0.11675345082642494,4.535011391390192,0.38457556935817805,1.0377730838653887,0.13025744755284943,4.910835414319112,0.37641569931742097,1.718141905722538,62.5,13.0,0.20353195682929226,15.23089456979914,0.35088506752161663,1.5893734488434461,0.5416666666666666,0.2908008658008658,2.0064718614718613,60.5,0.8300865800865801,23.0,0.5654761904761905,17.0,0.1851511684584647,0.4311170668953688,1.399921559646152,0.34703663663901047,0.2583333333333333,2.0669079641618486,-0.12180099008874583,-0.7760351364359441,0.3084415584415584,0.7934703120823963,0.42970505471330045,16.006929706235084,0.37180555555555556,2.133890322442151
Abilene Christian,401462517,71.6,12.6,0.0898318888543925,7.050732432943981,0.37636063984386603,1.3895784750645934,0.6766666666666666,0.2035836627140975,2.875546019198193,100.4,1.0798343685300207,39.2,0.991914172783738,37.6,-0.02316789204958698,0.4076803118908382,1.0861008876988119,0.2897556700192322,0.3210614429627291,2.1660025982499165,0.10147041872036802,3.8942418290666803,0.39250894033502726,1.0159743476025405,0.1274450158221888,4.532883833732931,0.36267102099239834,1.7875368977375643,57.8,12.2,0.18266921777348583,12.958618095931342,0.35763113094037025,1.527858994807834,0.6333333333333333,0.25369332421963997,2.2999143312827526,61.6,0.9377534745955799,23.6,0.694486215538847,18.2,0.1081561469224196,0.4144588709075993,1.258323463654135,0.3834475943432164,0.29416666666666663,2.0447140582578296,-0.04100958605074244,0.45136480523607503,0.34149008885850984,0.8686397569621553,0.3535492915452218,12.991463472705115,0.36060233918128654,1.9972175863420567
Abilene Christian,401418787,74.66666666666667,12.666666666666666,0.11874516503848852,9.82528355017118,0.38955979246248096,1.404875470286119,0.6472222222222223,0.22268335529205094,2.8133338038772826,102.0,1.1498619737750173,43.666666666666664,1.262201204592509,50.5,-0.015184178458241548,0.413179920925981,1.0873107337204042,0.36102601617676083,0.3481963637592635,2.16398460123722,0.13303387188996316,5.378109867633785,0.4066362381579773,1.09038160547862,0.1456990678077583,5.594168040750421,0.37468961894294067,1.7398224356988392,58.833333333333336,12.333333333333334,0.20067446054667515,13.899655607010752,0.38135927578364187,1.4642248465886614,0.6666666666666666,0.24474443684969996,2.4049286094022935,66.0,0.9814612288296498,25.666666666666668,0.8176274018379281,22.333333333333332,0.12698706128931395,0.4353823924229994,1.20877297345873,0.40939396559813884,0.3046626984126984,2.06146762417364,0.009661613276592864,1.6912253872630763,0.3679084073820915,0.9044275258210512,0.34714556092008547,12.611938704755884,0.3838352826510721,1.8645757908148177
Abilene Christian,401418789,73.85714285714286,12.857142857142858,0.09754524859662214,8.129365435323047,0.3753162610340934,1.4006525321248424,0.6261904761904761,0.25102182333303613,2.6189477717444376,95.28571428571429,1.0946185339124208,41.57142857142857,1.3112100550642558,52.0,-0.036508480562760806,0.4085759866440381,1.077017815037466,0.335170114713462,0.3196180472433899,2.257062987349984,0.08433890628587173,3.4815836409904284,0.3861393319549579,1.1218795324736737,0.1518500326145023,5.630919815658068,0.36724547983127626,1.6969567608662006,60.285714285714285,12.571428571428571,0.17626479080411822,12.20780013344716,0.37656882023691035,1.4373838020750074,0.619047619047619,0.24874198483221038,2.3633154314357325,63.285714285714285,1.0230706636721674,26.0,0.8306936171597826,22.0,0.12208608261483508,0.4400542087029965,1.2032390962959052,0.335978576976141,0.2741264687693259,2.1163517140643298,-0.019731696527880545,0.8333340151106564,0.3672981154184161,0.9164726332935048,0.31691711151773116,11.720330534057823,0.3776338896887609,1.8010842011877735
Abilene Christian,401462519,71.71428571428571,12.428571428571429,0.15517163220254923,10.84680662982031,0.40218163999281487,1.3683606631166896,0.7214285714285715,0.24481064320881255,2.7263124567488743,92.42857142857143,1.1802440884820748,41.42857142857143,1.7624079255167846,57.142857142857146,0.041837713497821824,0.4390688855579897,1.0783323523576132,0.36731323141008987,0.32989943252477516,2.217700773813601,0.12904963062123975,3.866420472200363,0.40787846238974057,1.1251910547678585,0.2082820036208742,7.334511646252608,0.3979674460371134,1.6376191541309615,59.714285714285715,12.0,0.11460757745803672,7.387038759576939,0.36540852513295324,1.3745850738221936,0.5986394557823128,0.2676057465531149,2.3162663415294995,62.57142857142857,1.0299101562259458,26.571428571428573,0.8049903628850997,21.285714285714285,0.07165032682684373,0.42694707905868595,1.158080163441128,0.24954997545269103,0.2669836116264688,1.9988973521877444,0.0007651513646943497,1.6277004999571656,0.37082817609133395,0.9618200451661634,0.18564161281455066,6.105202675341093,0.35263388968876086,1.6844700906846768
Abilene Christian,401418790,68.0,12.142857142857142,0.1922171547770763,12.517367298624162,0.40897573366071954,1.3919210849109065,0.7928571428571429,0.23800792212037716,2.7266525928032954,85.28571428571429,1.112216877597721,36.42857142857143,1.5923398983059,49.857142857142854,0.07799610920157282,0.451829545377473,1.0936318630670125,0.39266939401619355,0.32668675315017676,2.2585072907340598,0.10337168471365896,3.1241470283999235,0.3976743807570875,1.0824484951913578,0.300135790656005,10.28649396313958,0.41784856921809316,1.6438951900491552,63.285714285714285,11.857142857142858,0.13584745276014018,9.135842560418556,0.39745006515321674,1.2325630983660822,0.629251700680272,0.25190052154556436,2.4699359277572257,75.85714285714286,1.0882007028885854,30.714285714285715,0.8068025042321247,23.0,0.029322716875300747,0.4426813447929517,0.9753646089620471,0.34107987045694305,0.2984121830550402,2.0399964823349968,0.05394846062419253,3.2409010751091087,0.41477260375669184,0.9795811552387635,0.18414664305353848,6.240805901030768,0.36760925914688897,1.4899143883389647
Abilene Christian,401418791,71.14285714285714,13.0,0.20663525340324257,14.01967409669864,0.41131169711586907,1.3679117018909885,0.7642857142857142,0.24226857374944982,2.765574898567707,89.42857142857143,1.1104624916328087,37.42857142857143,1.541462705323444,48.57142857142857,0.08881708098117701,0.46549167689674736,1.0590274588281285,0.4118519216116538,0.3101453997667181,2.357498322774738,0.1298738077196438,4.042558041472569,0.4102057090778895,1.0951002866560895,0.30290079470042164,10.870389748141417,0.4113709781816786,1.6005044351382003,62.142857142857146,12.285714285714286,0.15279675670994355,10.165812188173613,0.39052548288616873,1.3434378988446969,0.5340136054421769,0.2489243310693739,2.3308666636879614,69.71428571428571,1.0259712656591482,27.142857142857142,1.0692483916780122,25.285714285714285,0.0187175069429445,0.4248242019358088,1.0210179025051118,0.37172135438075665,0.3068850894589811,2.145322709142586,0.026005424316822616,2.6550562157716144,0.38961026609435423,1.183911835066181,0.21535352357464665,7.856620388123318,0.3671719413626325,1.5684839667652335
Abilene Christian,401540278,66.14285714285714,12.571428571428571,0.21326109235394736,13.497204567266555,0.4055396913438633,1.394034081104303,0.6214285714285713,0.3036039774761579,2.401560923412427,68.28571428571429,1.0207885785893305,29.285714285714285,1.4560589786153695,39.285714285714285,0.10609322728291115,0.47059371771307396,1.099050617840121,0.39820873414676633,0.2863358759571943,2.357854532227863,0.05599813360667433,1.620311586272234,0.3566342805064609,1.161577065550056,0.3527169901161794,12.770166673909666,0.4322667490774495,1.5816064042585793,64.57142857142857,11.857142857142858,0.1963731975247595,13.095592356831014,0.4175096098702957,1.364350987323283,0.5340136054421769,0.2183120861714147,2.556580949402247,78.57142857142857,1.0300528983122095,29.428571428571427,1.0631259426984203,25.428571428571427,0.06137263501886069,0.4514908686024755,1.024728160447113,0.4236866937261222,0.3248745074483991,2.240783507528007,0.04668500671310364,1.7869872458321976,0.4079776130331297,1.1928693978599962,0.3178284607613514,11.654469526720137,0.4126459868366779,1.6142035819672975
Abilene Christian,401541630,67.57142857142857,12.428571428571429,0.25991574394541694,16.82175666729977,0.44336823469930414,1.3441877327447618,0.6333333333333334,0.2872382294030928,2.6470049103198288,81.42857142857143,1.1938431662780644,37.142857142857146,1.5252174624079997,42.57142857142857,0.14859520818571517,0.49379274091209713,1.0911173462255241,0.47455656331374957,0.34771695012599224,2.1573923871238088,0.11286809283208421,3.9980808177096274,0.400557836625139,1.1364879632120857,0.38534499778134085,13.716949542505484,0.459739276549977,1.5018993748986618,67.14285714285714,11.857142857142858,0.18102773164743022,12.476033474381058,0.40015853988764677,1.3910551305181877,0.46258503401360546,0.23898877790073803,2.4305784431365827,78.0,0.9536117955553173,28.571428571428573,0.9616221832999241,23.857142857142858,0.047510793405167555,0.44197999903725815,1.0540152435380474,0.39971373927396814,0.2966602217341134,2.293708654092098,0.020313364407049672,1.3556078519878108,0.3819751067674656,1.2054510025363945,0.298680085547027,11.120425622393245,0.40216523951382527,1.6432217640280207
Abilene Christian,401531436,62.142857142857146,12.0,0.20482364512555404,12.527561993461067,0.42499216632323583,1.296245576504489,0.5619047619047619,0.2908908268056902,2.6002516635665818,75.71428571428571,1.1045574519923502,31.714285714285715,1.343805124745662,32.285714285714285,0.13304999505798792,0.4920632355506305,1.0909669420870194,0.3433475574724688,0.29539924885193425,2.070650582900327,0.05331327509878429,1.5937246998361354,0.3770188755861779,1.0745122036436636,0.359451010682382,12.31093923778793,0.4502590542551093,1.4750296675265009,65.85714285714286,11.571428571428571,0.1819545111940307,12.153248339485,0.3858728256019325,1.489468596733592,0.45068027210884354,0.23898877790073803,2.4120070145651544,73.42857142857143,0.9321832241267458,26.428571428571427,1.1068602785380193,24.714285714285715,0.05143766389425218,0.41978219683945595,1.1751653602376102,0.38205994224560774,0.3081398135708481,2.2573034673791446,0.02049269869086562,0.9834550949308873,0.3676893924817513,1.2436460694781537,0.31676261087782354,11.735231483640328,0.3895601974970186,1.7732612948836366
Abilene Christian,401541631,62.142857142857146,11.857142857142858,0.2435027929145894,15.19642319090451,0.44776649344538905,1.2776734267962027,0.5925170068027211,0.2497880699134596,2.9870185808598153,85.71428571428571,1.2241063241728014,34.42857142857143,1.1859103879035566,25.714285714285715,0.1871955744842145,0.5104705984958086,1.1037097597884054,0.36281150603638224,0.3139177673704528,1.9509642484132907,0.12930374753957297,4.11095988716114,0.41561536681424815,1.0218865656763072,0.3607160846715666,12.547767870831908,0.46056708238996263,1.493395027282301,66.85714285714286,11.428571428571429,0.22953368515723677,15.799072333037435,0.4038525575404745,1.5095696780670802,0.5173469387755102,0.22502773893969907,2.5839875340456735,85.71428571428571,0.9325078994514211,29.714285714285715,1.1269901486678895,27.857142857142858,0.0657221814883529,0.425689176251052,1.1523387721235128,0.5048527647226497,0.3510534217018475,2.284699897999244,0.08960089753808186,3.243547620764541,0.38716991196227074,1.271039320770275,0.361171860243582,13.12096295135911,0.4044200421440972,1.8150608341472105
Abilene Christian,401540209,65.85714285714286,12.428571428571429,0.2179811930929327,14.816030358311943,0.4413543687004167,1.256680966171682,0.5925170068027211,0.26764521277060244,2.9123247033087947,98.14285714285714,1.1572695894789238,37.857142857142854,0.9507063062709038,31.428571428571427,0.13990423704496885,0.5080285960538061,1.0409607511223944,0.3877431356402687,0.3027860419530131,2.1189661200040533,0.10243775467761265,4.8953485661373675,0.4227582239571053,0.9776489499475056,0.3290095227415989,11.598749714199913,0.43579749713650645,1.5334791001644066,67.57142857142857,11.571428571428571,0.20327392886431478,14.048918820917995,0.39130357946147415,1.5394935338237172,0.5139455782312925,0.21139356905552922,2.6186641749723143,84.28571428571429,0.9584490191425407,29.714285714285715,1.2307546274323684,30.714285714285715,0.038153759038463256,0.4158852546824245,1.1799059610694653,0.47527450367539725,0.3343867550351808,2.3232942252074684,0.08038440599146572,2.756177869756854,0.3775174023097611,1.2820392007805237,0.34487290674097676,12.921884118369034,0.3942159605114442,1.8472826177502744
Abilene Christian,401540224,65.71428571428571,12.714285714285714,0.16919680885974783,12.030096467988901,0.43732644174015894,1.1738271070365116,0.535374149659864,0.24653331973752718,3.0464555970456,104.71428571428571,1.2128642411326886,40.285714285714285,1.2000612206504486,38.714285714285715,0.12923016224306189,0.5106404516068382,0.9985298026487487,0.28105021697836335,0.28447940579740666,1.9853338048522093,0.1528203288827635,6.228366919298951,0.4509074146678724,1.0260244795410498,0.20339277760343724,7.421057900093483,0.40778629265471367,1.4072549590971875,67.28571428571429,12.0,0.23383703529397862,16.128293898063045,0.4054192257199776,1.5475213034880677,0.5261904761904762,0.20897108843537415,2.6592857142857147,88.71428571428571,0.9978316326530612,32.285714285714285,1.424829931972789,40.42857142857143,0.062178593211263226,0.43028085907802893,1.1917264632846012,0.52134895163798,0.34867246932089513,2.294494500528678,0.10682479368887018,4.130832615290122,0.37848639455782307,1.3255991373015623,0.39066522054156744,13.626604449980814,0.4293704611831863,1.7677558355317273
