id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401117536,2019,10,regular,2019-11-03T02:30:00.000Z,Nevada,Mountain West,21,New Mexico,Mountain West,10,"[{'provider': 'Bovada', 'spread': -4.0, 'formatted_spread': 'Nevada -4.0', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-4.0
401112504,2019,11,regular,2019-11-09T17:30:00.000Z,Virginia,ACC,33,Georgia Tech,ACC,28,"[{'provider': 'Bovada', 'spread': -15.5, 'formatted_spread': 'Virginia -15.5', 'spread_open': None, 'over_under': 46.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-15.5
401117544,2019,12,regular,2019-11-17T00:00:00.000Z,Colorado State,Mountain West,21,Air Force,Mountain West,38,"[{'provider': 'Bovada', 'spread': 10.5, 'formatted_spread': 'Air Force -10.5', 'spread_open': None, 'over_under': 62.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",10.5
401114358,2019,13,regular,2019-11-23T17:00:00.000Z,UMass,FBS Independents,24,BYU,FBS Independents,56,"[{'provider': 'Bovada', 'spread': 42.5, 'formatted_spread': 'BYU -42.5', 'spread_open': None, 'over_under': 69.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",42.5
401114316,2019,13,regular,2019-11-23T21:30:00.000Z,Middle Tennessee,Conference USA,38,Old Dominion,Conference USA,17,"[{'provider': 'Bovada', 'spread': -13.5, 'formatted_spread': 'Middle Tennessee -13.5', 'spread_open': None, 'over_under': 47.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-13.5
401112517,2019,13,regular,2019-11-24T00:00:00.000Z,Florida International,Conference USA,30,Miami,ACC,24,"[{'provider': 'Bovada', 'spread': 21.5, 'formatted_spread': 'Miami -21.5', 'spread_open': None, 'over_under': 51.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",21.5
401112167,2019,13,regular,2019-11-23T20:30:00.000Z,Indiana,Big Ten,14,Michigan,Big Ten,39,"[{'provider': 'Bovada', 'spread': 10.0, 'formatted_spread': 'Michigan -10.0', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",10.0
401117911,2019,13,regular,2019-11-23T20:30:00.000Z,Navy,American Athletic,35,SMU,American Athletic,28,"[{'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'Navy -3.5', 'spread_open': None, 'over_under': 69.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.5
401114314,2019,13,regular,2019-11-23T23:00:00.000Z,UT San Antonio,Conference USA,26,Florida Atlantic,Conference USA,40,"[{'provider': 'Bovada', 'spread': 22.0, 'formatted_spread': 'Florida Atlantic -22.0', 'spread_open': None, 'over_under': 57.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",22.0
401114216,2019,12,regular,2019-11-17T01:00:00.000Z,Utah,Pac-12,49,UCLA,Pac-12,3,"[{'provider': 'Bovada', 'spread': -21.0, 'formatted_spread': 'Utah -21.0', 'spread_open': None, 'over_under': 52.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-21.0
401110861,2019,13,regular,2019-11-24T00:30:00.000Z,Missouri,SEC,20,Tennessee,SEC,24,"[{'provider': 'Bovada', 'spread': -3.0, 'formatted_spread': 'Missouri -3.0', 'spread_open': None, 'over_under': 47.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.0
401112501,2019,10,regular,2019-11-02T18:30:00.000Z,Notre Dame,FBS Independents,21,Virginia Tech,ACC,20,"[{'provider': 'Bovada', 'spread': -17.0, 'formatted_spread': 'Notre Dame -17.0', 'spread_open': None, 'over_under': 59.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-17.0
401114162,2019,13,regular,2019-11-24T00:30:00.000Z,Arizona State,Pac-12,31,Oregon,Pac-12,28,"[{'provider': 'Bovada', 'spread': 14.0, 'formatted_spread': 'Oregon -14.0', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",14.0
401117896,2019,10,regular,2019-11-02T23:00:00.000Z,East Carolina,American Athletic,43,Cincinnati,American Athletic,46,"[{'provider': 'Bovada', 'spread': 24.5, 'formatted_spread': 'Cincinnati -24.5', 'spread_open': None, 'over_under': 48.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",24.5
401112506,2019,11,regular,2019-11-09T20:30:00.000Z,Virginia Tech,ACC,36,Wake Forest,ACC,17,"[{'provider': 'Bovada', 'spread': 3.0, 'formatted_spread': 'Wake Forest -3.0', 'spread_open': None, 'over_under': 61.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",3.0
401114206,2019,13,regular,2019-11-24T02:00:00.000Z,Washington State,Pac-12,54,Oregon State,Pac-12,53,"[{'provider': 'Bovada', 'spread': -10.5, 'formatted_spread': 'Washington State -10.5', 'spread_open': None, 'over_under': 77.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-10.5
401117216,2019,10,regular,2019-11-03T02:00:00.000Z,Utah State,Mountain West,14,BYU,FBS Independents,42,"[{'provider': 'Bovada', 'spread': -3.0, 'formatted_spread': 'Utah State -3.0', 'spread_open': None, 'over_under': 51.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.0
401110844,2019,11,regular,2019-11-09T17:00:00.000Z,Florida,SEC,56,Vanderbilt,SEC,0,"[{'provider': 'Bovada', 'spread': -27.5, 'formatted_spread': 'Florida -27.5', 'spread_open': None, 'over_under': 49.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-27.5
401114160,2019,11,regular,2019-11-09T20:30:00.000Z,Arizona State,Pac-12,26,USC,Pac-12,31,"[{'provider': 'Bovada', 'spread': 4.5, 'formatted_spread': 'USC -4.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",4.5
