id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401411101,2022,1,regular,2022-09-06T00:00:00.000Z,Georgia Tech,ACC,10.0,Clemson,ACC,41.0,"[{'provider': 'Bovada', 'spread': 24.5, 'formatted_spread': 'Clemson -24.5', 'spread_open': 21.0, 'over_under': 51.5, 'over_under_open': 51.0, 'home_moneyline': 950.0, 'away_moneyline': -2000.0}]",24.5
401404079,2022,4,regular,2022-09-24T16:00:00.000Z,Kansas,Big 12,35.0,Duke,ACC,27.0,"[{'provider': 'Bovada', 'spread': -7.5, 'formatted_spread': 'Kansas -7.5', 'spread_open': -9.0, 'over_under': 66.0, 'over_under_open': 64.0, 'home_moneyline': -330.0, 'away_moneyline': 265.0}]",-7.5
401403893,2022,4,regular,2022-09-24T23:00:00.000Z,Texas A&M,SEC,23.0,Arkansas,SEC,21.0,"[{'provider': 'Bovada', 'spread': -1.0, 'formatted_spread': 'Texas A&M -1.0', 'spread_open': -2.0, 'over_under': 51.0, 'over_under_open': 48.0, 'home_moneyline': -135.0, 'away_moneyline': 115.0}]",-1.0
401404080,2022,4,regular,2022-09-24T16:00:00.000Z,Iowa State,Big 12,24.0,Baylor,Big 12,31.0,"[{'provider': 'Bovada', 'spread': -2.5, 'formatted_spread': 'Iowa State -2.5', 'spread_open': -1.0, 'over_under': 45.0, 'over_under_open': 44.5, 'home_moneyline': -140.0, 'away_moneyline': 120.0}]",-2.5
401404081,2022,4,regular,2022-09-25T00:00:00.000Z,Oklahoma,Big 12,34.0,Kansas State,Big 12,41.0,"[{'provider': 'Bovada', 'spread': -14.0, 'formatted_spread': 'Oklahoma -14.0', 'spread_open': -13.0, 'over_under': 53.0, 'over_under_open': 53.5, 'home_moneyline': -550.0, 'away_moneyline': 390.0}]",-14.0
401404082,2022,4,regular,2022-09-24T19:30:00.000Z,Texas Tech,Big 12,37.0,Texas,Big 12,34.0,"[{'provider': 'Bovada', 'spread': 7.0, 'formatted_spread': 'Texas -7.0', 'spread_open': 4.5, 'over_under': 60.0, 'over_under_open': 60.5, 'home_moneyline': 220.0, 'away_moneyline': -270.0}]",7.0
401415642,2022,8,regular,2022-10-22T23:30:00.000Z,East Carolina,American Athletic,34.0,UCF,American Athletic,13.0,"[{'provider': 'Bovada', 'spread': 6.0, 'formatted_spread': 'UCF -6.0', 'spread_open': 4.5, 'over_under': 63.0, 'over_under_open': 64.5, 'home_moneyline': 175.0, 'away_moneyline': -210.0}]",6.0
401416624,2022,8,regular,2022-10-22T18:00:00.000Z,Ball State,Mid-American,16.0,Eastern Michigan,Mid-American,20.0,"[{'provider': 'Bovada', 'spread': -2.5, 'formatted_spread': 'Ball State -2.5', 'spread_open': -3.0, 'over_under': 57.5, 'over_under_open': 57.5, 'home_moneyline': -135.0, 'away_moneyline': 115.0}]",-2.5
401416625,2022,8,regular,2022-10-22T18:00:00.000Z,Ohio,Mid-American,24.0,Northern Illinois,Mid-American,17.0,"[{'provider': 'Bovada', 'spread': 2.5, 'formatted_spread': 'Northern Illinois -2.5', 'spread_open': 1.5, 'over_under': 65.5, 'over_under_open': 65.5, 'home_moneyline': 120.0, 'away_moneyline': -140.0}]",2.5
401416626,2022,8,regular,2022-10-22T17:00:00.000Z,Buffalo,Mid-American,34.0,Toledo,Mid-American,27.0,"[{'provider': 'Bovada', 'spread': 7.0, 'formatted_spread': 'Toledo -7.0', 'spread_open': 7.5, 'over_under': 56.0, 'over_under_open': 62.0, 'home_moneyline': 250.0, 'away_moneyline': -300.0}]",7.0
401416627,2022,8,regular,2022-10-22T19:30:00.000Z,Miami (OH),Mid-American,10.0,Western Michigan,Mid-American,16.0,"[{'provider': 'Bovada', 'spread': -7.0, 'formatted_spread': 'Miami (OH) -7.0', 'spread_open': -5.5, 'over_under': 44.0, 'over_under_open': 45.5, 'home_moneyline': -230.0, 'away_moneyline': 190.0}]",-7.0
401416628,2022,8,regular,2022-10-22T16:00:00.000Z,Kent State,Mid-American,33.0,Akron,Mid-American,27.0,"[{'provider': 'Bovada', 'spread': -16.0, 'formatted_spread': 'Kent State -16.0', 'spread_open': -19.5, 'over_under': 65.0, 'over_under_open': 67.0, 'home_moneyline': -800.0, 'away_moneyline': 525.0}]",-16.0
401416629,2022,8,regular,2022-10-22T17:00:00.000Z,Central Michigan,Mid-American,18.0,Bowling Green,Mid-American,34.0,"[{'provider': 'Bovada', 'spread': -5.5, 'formatted_spread': 'Central Michigan -5.5', 'spread_open': -7.5, 'over_under': 51.0, 'over_under_open': 50.5, 'home_moneyline': -250.0, 'away_moneyline': 210.0}]",-5.5
401426355,2022,8,regular,2022-10-22T19:30:00.000Z,James Madison,Sun Belt,12.0,Marshall,Sun Belt,26.0,"[{'provider': 'Bovada', 'spread': -9.5, 'formatted_spread': 'James Madison -9.5', 'spread_open': -12.5, 'over_under': 48.5, 'over_under_open': 55.0, 'home_moneyline': -340.0, 'away_moneyline': 270.0}]",-9.5
401426357,2022,8,regular,2022-10-22T21:00:00.000Z,Louisiana,Sun Belt,38.0,Arkansas State,Sun Belt,18.0,"[{'provider': 'Bovada', 'spread': -6.0, 'formatted_spread': 'Louisiana -6.0', 'spread_open': -7.0, 'over_under': 51.5, 'over_under_open': 51.5, 'home_moneyline': -250.0, 'away_moneyline': 210.0}]",-6.0
401426358,2022,8,regular,2022-10-22T21:00:00.000Z,Texas State,Sun Belt,14.0,Southern Mississippi,Sun Belt,20.0,"[{'provider': 'Bovada', 'spread': 2.5, 'formatted_spread': 'Southern Mississippi -2.5', 'spread_open': 1.0, 'over_under': 43.0, 'over_under_open': 45.0, 'home_moneyline': 110.0, 'away_moneyline': -130.0}]",2.5
401404140,2022,8,regular,2022-10-22T16:00:00.000Z,Army,FBS Independents,48.0,Louisiana Monroe,Sun Belt,24.0,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'Army -6.5', 'spread_open': -7.5, 'over_under': 56.0, 'over_under_open': 56.0, 'home_moneyline': -280.0, 'away_moneyline': 230.0}]",-6.5
401416633,2022,10,regular,2022-11-01T23:30:00.000Z,Ohio,Mid-American,45.0,Buffalo,Mid-American,24.0,"[{'provider': 'Bovada', 'spread': 2.5, 'formatted_spread': 'Buffalo -2.5', 'spread_open': 3.0, 'over_under': 61.5, 'over_under_open': 58.5, 'home_moneyline': 130.0, 'away_moneyline': -150.0}]",2.5
401416634,2022,10,regular,2022-11-02T23:00:00.000Z,Northern Illinois,Mid-American,22.0,Central Michigan,Mid-American,35.0,"[{'provider': 'Bovada', 'spread': -4.5, 'formatted_spread': 'Northern Illinois -4.5', 'spread_open': -4.0, 'over_under': 54.0, 'over_under_open': 55.5, 'home_moneyline': -210.0, 'away_moneyline': 175.0}]",-4.5
401403917,2022,7,regular,2022-10-15T23:00:00.000Z,Florida,SEC,35.0,LSU,SEC,45.0,"[{'provider': 'Bovada', 'spread': -2.0, 'formatted_spread': 'Florida -2.0', 'spread_open': -3.0, 'over_under': 51.5, 'over_under_open': 51.5, 'home_moneyline': -135.0, 'away_moneyline': 115.0}]",-2.0
401403920,2022,7,regular,2022-10-15T16:00:00.000Z,Ole Miss,SEC,48.0,Auburn,SEC,34.0,"[{'provider': 'Bovada', 'spread': -15.5, 'formatted_spread': 'Ole Miss -15.5', 'spread_open': -15.5, 'over_under': 55.0, 'over_under_open': 54.5, 'home_moneyline': -700.0, 'away_moneyline': 475.0}]",-15.5
