id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401212487,2020,7,regular,2020-10-16T22:00:00.000Z,Tulane,American Athletic,34,SMU,American Athletic,37,"[{'provider': 'Bovada', 'spread': 6.5, 'formatted_spread': 'SMU -6.5', 'spread_open': None, 'over_under': 66.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",6.5
401212544,2020,10,regular,2020-11-07T20:30:00.000Z,Cincinnati,American Athletic,38,Houston,American Athletic,10,"[{'provider': 'Bovada', 'spread': -13.5, 'formatted_spread': 'Cincinnati -13.5', 'spread_open': None, 'over_under': 57.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-13.5
401234565,2020,2,regular,2020-09-12T16:00:00.000Z,North Carolina,ACC,31,Syracuse,ACC,6,"[{'provider': 'Bovada', 'spread': -24.5, 'formatted_spread': 'North Carolina -24.5', 'spread_open': None, 'over_under': 67.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-24.5
401234567,2020,3,regular,2020-09-19T16:00:00.000Z,Duke,ACC,6,Boston College,ACC,26,"[{'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'Duke -3.5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.5
401234571,2020,3,regular,2020-09-19T16:00:00.000Z,Pittsburgh,ACC,21,Syracuse,ACC,10,"[{'provider': 'Bovada', 'spread': -21.5, 'formatted_spread': 'Pittsburgh -21.5', 'spread_open': None, 'over_under': 47.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-21.5
401234576,2020,1,regular,2020-09-08T00:00:00.000Z,Navy,American Athletic,3,BYU,FBS Independents,55,"[{'provider': 'Bovada', 'spread': 1.0, 'formatted_spread': 'BYU -1.0', 'spread_open': None, 'over_under': 48.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",1.0
401234594,2020,4,regular,2020-09-26T16:00:00.000Z,Syracuse,ACC,37,Georgia Tech,ACC,20,"[{'provider': 'Bovada', 'spread': 7.5, 'formatted_spread': 'Georgia Tech -7.5', 'spread_open': None, 'over_under': 52.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",7.5
401234595,2020,4,regular,2020-09-26T16:00:00.000Z,Pittsburgh,ACC,23,Louisville,ACC,20,"[{'provider': 'Bovada', 'spread': -3.0, 'formatted_spread': 'Pittsburgh -3.0', 'spread_open': None, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.0
401234600,2020,5,regular,2020-10-03T16:00:00.000Z,Pittsburgh,ACC,29,NC State,ACC,30,"[{'provider': 'Bovada', 'spread': -14.0, 'formatted_spread': 'Pittsburgh -14.0', 'spread_open': None, 'over_under': 46.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-14.0
401234615,2020,7,regular,2020-10-17T16:00:00.000Z,Syracuse,ACC,21,Liberty,FBS Independents,38,"[{'provider': 'Bovada', 'spread': 3.0, 'formatted_spread': 'Liberty -3.0', 'spread_open': None, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",3.0
401234617,2020,8,regular,2020-10-24T20:00:00.000Z,Boston College,ACC,48,Georgia Tech,ACC,27,"[{'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'Boston College -3.5', 'spread_open': None, 'over_under': 57.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.5
401234625,2020,9,regular,2020-10-31T23:00:00.000Z,Duke,ACC,53,Charlotte,Conference USA,19,"[{'provider': 'Bovada', 'spread': -10.5, 'formatted_spread': 'Duke -10.5', 'spread_open': None, 'over_under': None, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-10.5
401234629,2020,9,regular,2020-10-31T16:00:00.000Z,Syracuse,ACC,14,Wake Forest,ACC,38,"[{'provider': 'Bovada', 'spread': 11.0, 'formatted_spread': 'Wake Forest -11.0', 'spread_open': None, 'over_under': None, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",11.0
401234637,2020,11,regular,2020-11-14T20:30:00.000Z,Boston College,ACC,31,Notre Dame,FBS Independents,45,"[{'provider': 'Bovada', 'spread': 13.0, 'formatted_spread': 'Notre Dame -13.0', 'spread_open': None, 'over_under': 52.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",13.0
401234649,2020,13,regular,2020-11-28T21:00:00.000Z,Boston College,ACC,34,Louisville,ACC,27,"[{'provider': 'Bovada', 'spread': -1.0, 'formatted_spread': 'Boston College -1.0', 'spread_open': None, 'over_under': 56.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-1.0
401234655,2020,13,regular,2020-11-28T17:00:00.000Z,Syracuse,ACC,29,NC State,ACC,36,"[{'provider': 'Bovada', 'spread': 17.0, 'formatted_spread': 'NC State -17.0', 'spread_open': None, 'over_under': 50.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",17.0
401236030,2020,13,regular,2020-11-29T01:00:00.000Z,Kansas,Big 12,23,TCU,Big 12,59,"[{'provider': 'Bovada', 'spread': 23.0, 'formatted_spread': 'TCU -23.0', 'spread_open': None, 'over_under': 51.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",23.0
401236221,2020,2,regular,2020-09-12T16:00:00.000Z,Iowa State,Big 12,14,Louisiana,Sun Belt,31,"[{'provider': 'Bovada', 'spread': -11.0, 'formatted_spread': 'Iowa State -11.0', 'spread_open': None, 'over_under': 56.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-11.0
401236658,2020,2,regular,2020-09-13T02:00:00.000Z,Kansas,Big 12,23,Coastal Carolina,Sun Belt,38,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'Kansas -6.5', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401240039,2020,2,regular,2020-09-12T23:00:00.000Z,South Florida,American Athletic,27,The Citadel,Southern,6,"[{'provider': 'Bovada', 'spread': -17.5, 'formatted_spread': 'South Florida -17.5', 'spread_open': None, 'over_under': 52.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-17.5
401240233,2020,2,regular,2020-09-12T20:00:00.000Z,Pittsburgh,ACC,55,Austin Peay,OVC,0,"[{'provider': 'Bovada', 'spread': -31.0, 'formatted_spread': 'Pittsburgh -31.0', 'spread_open': None, 'over_under': 49.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-31.0
401240996,2020,4,regular,2020-09-26T19:30:00.000Z,Cincinnati,American Athletic,24,Army,FBS Independents,10,"[{'provider': 'Bovada', 'spread': -12.0, 'formatted_spread': 'Cincinnati -12.0', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-12.0
