id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401635525,2024,1,regular,2024-08-24T16:00:00.000Z,Georgia Tech,ACC,,Florida State,ACC,,"[{'provider': 'Bovada', 'spread': 11.0, 'formatted_spread': 'Florida State -11.0', 'spread_open': 12.0, 'over_under': 57.0, 'over_under_open': 57.0, 'home_moneyline': 375.0, 'away_moneyline': -525.0}]",11.0
401628448,2024,1,regular,2024-08-30T00:00:00.000Z,Minnesota,Big Ten,,North Carolina,ACC,,"[{'provider': 'Bovada', 'spread': -2.5, 'formatted_spread': 'Minnesota -2.5', 'spread_open': -2.5, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': -130.0, 'away_moneyline': 110.0}]",-2.5
401634300,2024,1,regular,2024-08-31T02:30:00.000Z,Stanford,ACC,,TCU,Big 12,,"[{'provider': 'Bovada', 'spread': 8.0, 'formatted_spread': 'TCU -8.0', 'spread_open': None, 'over_under': 61.5, 'over_under_open': None, 'home_moneyline': 240.0, 'away_moneyline': -290.0}]",8.0
401628324,2024,1,regular,2024-08-31T23:45:00.000Z,Kentucky,SEC,,Southern Mississippi,Sun Belt,,"[{'provider': 'Bovada', 'spread': -26.0, 'formatted_spread': 'Kentucky -26.0', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-26.0
401628328,2024,1,regular,2024-08-30T23:00:00.000Z,Oklahoma,SEC,,Temple,American Athletic,,"[{'provider': 'Bovada', 'spread': -42.5, 'formatted_spread': 'Oklahoma -42.5', 'spread_open': None, 'over_under': 59.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-42.5
401628329,2024,1,regular,2024-08-31T20:15:00.000Z,South Carolina,SEC,,Old Dominion,Sun Belt,,"[{'provider': 'Bovada', 'spread': -20.0, 'formatted_spread': 'South Carolina -20.0', 'spread_open': None, 'over_under': 54.0, 'over_under_open': 54.0, 'home_moneyline': None, 'away_moneyline': None}]",-20.0
401628333,2024,1,regular,2024-08-31T16:00:00.000Z,Vanderbilt,SEC,,Virginia Tech,ACC,,"[{'provider': 'Bovada', 'spread': 13.5, 'formatted_spread': 'Virginia Tech -13.5', 'spread_open': 13.0, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': 410.0, 'away_moneyline': -585.0}]",13.5
401628449,2024,1,regular,2024-08-31T19:30:00.000Z,Indiana,Big Ten,,Florida International,Conference USA,,"[{'provider': 'Bovada', 'spread': -21.0, 'formatted_spread': 'Indiana -21.0', 'spread_open': -21.0, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-21.0
401628451,2024,1,regular,2024-08-31T16:00:00.000Z,Maryland,Big Ten,,Connecticut,FBS Independents,,"[{'provider': 'Bovada', 'spread': -20.5, 'formatted_spread': 'Maryland -20.5', 'spread_open': None, 'over_under': 48.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-20.5
401628452,2024,1,regular,2024-08-31T23:30:00.000Z,Michigan,Big Ten,,Fresno State,Mountain West,,"[{'provider': 'Bovada', 'spread': -21.0, 'formatted_spread': 'Michigan -21.0', 'spread_open': -21.0, 'over_under': 48.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-21.0
